"tract","Name","Employment_Rate_rP_gP_pall"
6037572100,"Wrigley, Long Beach, CA",0.857
6037980014,"Los Angeles County, CA",0.8488
6037620301,"Manhattan Beach, CA",0.8307
6037554522,"Cerritos, CA",0.8267
6037481300,"Rosemead, CA",0.8236
6037482702,"South Montebello, Monterey Park, CA",0.8225
6037530005,"South Montebello, Montebello, CA",0.8221
6037600501,"Inglewood, CA",0.822
6037482001,"Monterey Park, CA",0.8216
6037501900,"East Whitter, Whittier, CA",0.8205
6037432902,"Rosemead, CA",0.8184
6037195600,"Los Angeles, CA",0.8163
6037432201,"Rosemead, CA",0.815
6037650101,"Northeast Torrance, Torrance, CA",0.8144
6037241300,"Harbor Gateway North, Los Angeles, CA",0.8139
6037555202,"El Dorado, Long Beach, CA",0.8108
6037502200,"Whittier, CA",0.8108
6037501700,"East Whitter, Whittier, CA",0.8101
6037530003,"South Montebello, Montebello, CA",0.8101
6037481606,"Alhambra, CA",0.8098
6037501600,"Whittier, CA",0.8096
6037481603,"Alhambra, CA",0.8095
6037601301,"Inglewood, CA",0.8095
6037432300,"El Monte City, El Monte, CA",0.8092
6037206050,"Central LA, Los Angeles, CA",0.8079
6037554517,"Cerritos, CA",0.8077
6037603703,"Hawthorne, CA",0.8077
6037554521,"Cerritos, CA",0.8066
6037481800,"Alhambra, CA",0.8064
6037650200,"Northwest Torrance, Torrance, CA",0.8061
6037533106,"Huntington Park, CA",0.8056
6037533203,"Huntington Park, CA",0.8052
6037554518,"Cerritos, CA",0.8052
6037573700,"Carson Park, Long Beach, CA",0.805
6037543503,"Torrance, CA",0.8045
6037482800,"South Montebello, Monterey Park, CA",0.8037
6037199120,"Montecito Heights, Los Angeles, CA",0.8037
6037482502,"Garvey, Rosemead, CA",0.8034
6037210010,"Central LA, Los Angeles, CA",0.8034
6037572001,"Bixby Knolls, Long Beach, CA",0.8029
6037291300,"Harbor, Gardena, CA",0.8024
6037195803,"Silver Lake, Los Angeles, CA",0.8016
6037620201,"Manhattan Beach, CA",0.8012
6037603500,"Gardena, CA",0.8005
6037570800,"Lakewood, CA",0.8002
6037481500,"Alhambra, CA",0.8002
6037212306,"Central LA, Los Angeles, CA",0.8001
6037570003,"Lakewood, CA",0.7998
6037550400,"Downey, CA",0.7995
6037482402,"Garvey, Rosemead, CA",0.7991
6059110109,"Cypress, CA",0.799
6037534501,"Huntington Park, CA",0.7988
6037543903,"Carson, CA",0.7988
6037620305,"Manhattan Beach, CA",0.7987
6037600703,"Morningside Park, Inglewood, CA",0.7961
6037620800,"Manhattan Beach, CA",0.7958
6037207101,"Central LA, Los Angeles, CA",0.7958
6037199202,"Montecito Heights, Los Angeles, CA",0.7956
6037650603,"Torrance, CA",0.7952
6037220100,"South Los Angeles, Los Angeles, CA",0.795
6037550800,"Downey, CA",0.7949
6037620501,"North Redondo, Redondo Beach, CA",0.7948
6037620901,"Manhattan Beach, CA",0.7948
6037554515,"Cerritos, CA",0.7941
6037433306,"El Monte, CA",0.7939
6037543701,"Carson, CA",0.7939
6037482600,"Garvey, Monterey Park, CA",0.7937
6059110304,"Buena Park, CA",0.7931
6059110302,"Buena Park, CA",0.793
6037224410,"South Los Angeles, Los Angeles, CA",0.7928
6037503104,"Whittier, CA",0.7924
6037480901,"Alhambra, CA",0.7924
6037224700,"South Los Angeles, Los Angeles, CA",0.7922
6037276000,"Westchester, Los Angeles, CA",0.7918
6037432102,"Temple City, CA",0.7916
6037207102,"Central LA, Los Angeles, CA",0.7915
6037502601,"El Rancho, Pico Rivera, CA",0.7915
6037481902,"Alhambra, CA",0.7915
6037201503,"Northeast Los Angeles, Los Angeles, CA",0.7912
6037502500,"El Rancho, Pico Rivera, CA",0.7912
6059110116,"La Palma, CA",0.7911
6037530301,"East Los Angeles, CA",0.7906
6037482102,"Monterey Park, CA",0.7904
6037481714,"Monterey Park, CA",0.7904
6037701100,"West Los Angeles, Los Angeles, CA",0.79
6037570901,"Lakewood, CA",0.79
6037571503,"Bixby North, Long Beach, CA",0.7899
6037197200,"Echo Park, Los Angeles, CA",0.7899
6037201601,"Northeast Los Angeles, Los Angeles, CA",0.7895
6037502401,"El Rancho, Pico Rivera, CA",0.7895
6037570701,"Lakewood Mutual, Lakewood, CA",0.7895
6037503402,"East Whitter, Whittier, CA",0.7892
6037543601,"Carson, CA",0.7891
6037552602,"Norwalk, CA",0.7889
6037503601,"La Mirada, CA",0.7887
6037570100,"Ramona Park, Long Beach, CA",0.7886
6037620400,"Manhattan Beach, CA",0.7884
6037554511,"Cerritos, CA",0.788
6037504001,"La Mirada, CA",0.7878
6059110118,"Cypress, CA",0.7878
6037276500,"Westchester, Los Angeles, CA",0.7878
6037502005,"East Whitter, Whittier, CA",0.7874
6037501200,"Whittier, CA",0.787
6037192520,"Central LA, Los Angeles, CA",0.787
6037500202,"East Whitter, Whittier, CA",0.7869
6037197420,"Echo Park, Los Angeles, CA",0.7869
6037191710,"Central LA, Los Angeles, CA",0.7867
6037621102,"Hermosa Beach, CA",0.7866
6037535604,"South Gate, CA",0.7865
6037602302,"HollyGlen, Hawthorne, CA",0.7864
6037191820,"Central LA, Los Angeles, CA",0.7861
6037481605,"Alhambra, CA",0.786
6037503802,"La Mirada, CA",0.786
6037571900,"Bixby Knolls, Long Beach, CA",0.7857
6037209403,"Central LA, Los Angeles, CA",0.7856
6037502901,"East Whitter, Whittier, CA",0.785
6037650605,"Delthorne, Torrance, CA",0.785
6037554514,"Cerritos, CA",0.7848
6037620101,"El Segundo, CA",0.7847
6037571400,"Lakewood Mutual, Lakewood, CA",0.7847
6037187102,"Atwater Village, Los Angeles, CA",0.7845
6037570902,"Lakewood, CA",0.7842
6037481201,"Temple City, CA",0.7842
6037432500,"El Monte City, El Monte, CA",0.7839
6037551502,"Downey, CA",0.7833
6037433802,"South El Monte, CA",0.783
6037502402,"El Rancho, Pico Rivera, CA",0.783
6037271500,"Mar Vista, Los Angeles, CA",0.7829
6037192620,"Central LA, Los Angeles, CA",0.7826
6037620602,"North Redondo, Redondo Beach, CA",0.7824
6059110301,"Buena Park, CA",0.7822
6037602301,"Hawthorne, CA",0.7821
6037504002,"La Mirada, CA",0.782
6037481401,"San Gabriel, CA",0.7815
6037571102,"Lakewood, CA",0.7815
6037269300,"Cheviot Hills, Los Angeles, CA",0.7812
6037573601,"South of Conant, Long Beach, CA",0.781
6037197500,"Echo Park, Los Angeles, CA",0.7807
6037213401,"Central LA, Los Angeles, CA",0.7806
6037501802,"Whittier, CA",0.7803
6037541001,"Gardena, CA",0.78
6037551800,"Downey, CA",0.7799
6037570502,"Grant, Long Beach, CA",0.7793
6037204300,"Boyle Heights, Los Angeles, CA",0.7792
6037276400,"Westchester, Los Angeles, CA",0.779
6059110117,"Cypress, CA",0.779
6037482202,"Garvey, Monterey Park, CA",0.7788
6037209402,"Central LA, Los Angeles, CA",0.7786
6037432700,"El Monte City, El Monte, CA",0.7784
6037573800,"Carson Park, Long Beach, CA",0.7783
6037481001,"Alhambra, CA",0.7781
6037554516,"Cerritos, CA",0.778
6037535606,"South Gate, CA",0.7779
6037480903,"Alhambra, CA",0.7776
6037650004,"Northwest Torrance, Torrance, CA",0.7776
6037543304,"Carson, CA",0.7775
6037273100,"Venice, Los Angeles, CA",0.7775
6037482503,"Garvey, Rosemead, CA",0.7774
6037482101,"Monterey Park, CA",0.7773
6059110115,"La Palma, CA",0.7772
6037571000,"Lakewood, CA",0.777
6037531102,"Los Angeles, CA",0.7769
6037278001,"Westchester, Los Angeles, CA",0.7769
6037500300,"Whittier, CA",0.7768
6037432901,"Rosemead, CA",0.7766
6037201504,"Northeast Los Angeles, Los Angeles, CA",0.7763
6037277000,"Westchester, Los Angeles, CA",0.7763
6059110303,"Buena Park, CA",0.7763
6037501002,"Whittier, CA",0.7761
6037199800,"Northeast Los Angeles, Los Angeles, CA",0.776
6037570702,"Lakewood Mutual, Lakewood, CA",0.7753
6037701201,"North of Montana, Santa Monica, CA",0.7753
6037433101,"El Monte City, El Monte, CA",0.7752
6037603302,"Gardena, CA",0.7752
6037543322,"Carson, CA",0.7751
6037555103,"Lakewood, CA",0.7749
6037650401,"Madrona, Torrance, CA",0.7747
6037543801,"Carson, CA",0.7745
6037211500,"Central LA, Los Angeles, CA",0.7744
6037271400,"Mar Vista, Los Angeles, CA",0.7743
6059110111,"Cypress, CA",0.7741
6037201602,"Northeast Los Angeles, Los Angeles, CA",0.774
6037502602,"El Rancho, Pico Rivera, CA",0.7739
6037703002,"Los Angeles, CA",0.7739
6037201700,"Northeast Los Angeles, Los Angeles, CA",0.7737
6037222100,"South Los Angeles, Los Angeles, CA",0.7737
6037543306,"Carson, CA",0.7737
6037601212,"Inglewood, CA",0.7736
6037500900,"El Rancho, Pico Rivera, CA",0.7735
6037552001,"Norwalk, CA",0.7735
6037214502,"Central LA, Los Angeles, CA",0.7734
6037500403,"El Rancho, Pico Rivera, CA",0.7732
6059110102,"La Palma, CA",0.7732
6037408302,"Whittier, CA",0.7732
6037554600,"Norwalk, CA",0.7731
6037503202,"East Whitter, Whittier, CA",0.773
6037502301,"Whittier, CA",0.773
6037554101,"Bellflower, CA",0.7729
6037571200,"Lakewood Village, Long Beach, CA",0.7726
6037530203,"South Montebello, Montebello, CA",0.7725
6037502100,"Whittier, CA",0.7723
6037650702,"Southwood, Torrance, CA",0.7719
6037192610,"Central LA, Los Angeles, CA",0.7717
6037502801,"Santa Fe Springs, CA",0.7716
6037201200,"Northeast Los Angeles, Los Angeles, CA",0.7716
6037650701,"Southwood, Torrance, CA",0.7714
6037211803,"Central LA, Los Angeles, CA",0.7714
6037482002,"Monterey Park, CA",0.7713
6037532001,"South Montebello, Montebello, CA",0.7712
6037535605,"South Gate, CA",0.7708
6037553901,"Paramount, CA",0.7706
6037262301,"Los Angeles, CA",0.7706
6059110104,"Cypress, CA",0.7705
6037530602,"Los Angeles, CA",0.7704
6037544001,"Carson, CA",0.7704
6037650102,"Northwest Torrance, Torrance, CA",0.7704
6037551700,"Downey, CA",0.7703
6037551000,"Downey, CA",0.77
6037503103,"Whittier, CA",0.7699
6037434004,"El Monte, CA",0.7699
6037570402,"Coolidge Triangle, Long Beach, CA",0.7699
6037234000,"Leimert Park, Los Angeles, CA",0.7699
6037536102,"South Gate, CA",0.7698
6037552301,"Norwalk, CA",0.7697
6037603600,"Gardena, CA",0.7696
6037503602,"La Mirada, CA",0.7695
6037275400,"Los Angeles, CA",0.7695
6037551201,"Downey, CA",0.7693
6037199300,"Montecito Heights, Los Angeles, CA",0.7693
6037650901,"Old Town Torrance, Torrance, CA",0.7693
6037554802,"Artesia, CA",0.7693
6037262302,"Brentwood, Los Angeles, CA",0.7693
6037620102,"El Segundo, CA",0.7692
6037650902,"Old Town Torrance, Torrance, CA",0.7688
6037212701,"Central LA, Los Angeles, CA",0.7687
6037543501,"Carson, CA",0.7687
6037481712,"Garvey, Monterey Park, CA",0.7685
6037503502,"East Whitter, Whittier, CA",0.7684
6037620521,"North Redondo, Redondo Beach, CA",0.7684
6037702802,"McLaughlin, Los Angeles, CA",0.768
6037571300,"Lakewood, CA",0.768
