"tract","Name","Fraction_Married_rP_gP_pall"
6037214000,"Central LA, Los Angeles, CA",0.6617
6037214100,"Central LA, Los Angeles, CA",0.6484
6037265410,"Los Angeles, CA",0.6146
6037620301,"Manhattan Beach, CA",0.5925
6037620303,"Manhattan Beach, CA",0.5687
6037261200,"Beverly Glen, Los Angeles, CA",0.5523
6037214902,"Central LA, Los Angeles, CA",0.5515
6037262301,"Los Angeles, CA",0.547
6037192001,"Central LA, Los Angeles, CA",0.5445
6037269500,"Beverlywood, Los Angeles, CA",0.5317
6037214700,"Beverly Grove, Los Angeles, CA",0.5316
6037555202,"El Dorado, Long Beach, CA",0.5294
6037700700,"The Flats, Beverly Hills, CA",0.5282
6037269300,"Cheviot Hills, Los Angeles, CA",0.526
6037571101,"Lakewood, CA",0.5252
6037276601,"Playa del Rey, Los Angeles, CA",0.5241
6037214600,"Central LA, Los Angeles, CA",0.523
6037701202,"Wilshire Montana, Santa Monica, CA",0.522
6037571000,"Lakewood, CA",0.5191
6037500202,"East Whitter, Whittier, CA",0.517
6037650102,"Northwest Torrance, Torrance, CA",0.5164
6037651002,"Southeast Torrance, Torrance, CA",0.5148
6059110118,"Cypress, CA",0.5143
6037265100,"Westwood, Los Angeles, CA",0.512
6037271500,"Mar Vista, Los Angeles, CA",0.5113
6037700600,"Beverly Hills, CA",0.5109
6037269100,"Pico - Robertson, Los Angeles, CA",0.5096
6037262400,"Brentwood, Los Angeles, CA",0.5067
6037570002,"Lakewood, CA",0.5057
6037570001,"Lakewood, CA",0.5053
6037700501,"Central LA, West Hollywood, CA",0.5049
6037265601,"Westwood, Los Angeles, CA",0.5049
6037211000,"Central LA, Los Angeles, CA",0.5046
6037573601,"South of Conant, Long Beach, CA",0.5041
6059110109,"Cypress, CA",0.5028
6037650702,"Southwood, Torrance, CA",0.5017
6037554516,"Cerritos, CA",0.5015
6037651221,"Southwood Riviera, Torrance, CA",0.4979
6037269000,"Cheviot Hills, Los Angeles, CA",0.4964
6037573800,"Carson Park, Long Beach, CA",0.4957
6037620702,"North Redondo, Redondo Beach, CA",0.4957
6037570901,"Lakewood, CA",0.4955
6037620800,"Manhattan Beach, CA",0.4945
6037503602,"La Mirada, CA",0.4942
6037501900,"East Whitter, Whittier, CA",0.4938
6037651201,"Seaside, Torrance, CA",0.493
6037262302,"Brentwood, Los Angeles, CA",0.4925
6037650502,"West Torrance, Torrance, CA",0.4914
6037501501,"Whittier, CA",0.4912
6037620901,"Manhattan Beach, CA",0.491
6037700901,"Central LA, Beverly Hills, CA",0.4903
6037571300,"Lakewood, CA",0.4903
6059110117,"Cypress, CA",0.4902
6037620305,"Manhattan Beach, CA",0.4887
6037194402,"Beverly Grove, Los Angeles, CA",0.4863
6059110104,"Cypress, CA",0.4848
6037267200,"West Los Angeles, Los Angeles, CA",0.4837
6037408402,"La Puente, CA",0.4828
6037701601,"Northeast, Santa Monica, CA",0.4825
6037620400,"Manhattan Beach, CA",0.4823
6037482002,"Monterey Park, CA",0.4821
6037602302,"HollyGlen, Hawthorne, CA",0.4816
6037571200,"Lakewood Village, Long Beach, CA",0.4802
6037216402,"Central LA, Los Angeles, CA",0.4794
6059110111,"Cypress, CA",0.4792
6037501600,"Whittier, CA",0.479
6037650401,"Madrona, Torrance, CA",0.4778
6037620102,"El Segundo, CA",0.4769
6037620904,"Manhattan Beach, CA",0.4767
6037504002,"La Mirada, CA",0.4765
6037650001,"Torrance, CA",0.4746
6037650200,"Northwest Torrance, Torrance, CA",0.4742
6037503902,"La Mirada, CA",0.4728
6037621301,"South Redondo, Redondo Beach, CA",0.4717
6037573700,"Carson Park, Long Beach, CA",0.4716
6037651101,"Torrance, CA",0.4715
6037700102,"Central LA, West Hollywood, CA",0.4708
6037572100,"Wrigley, Long Beach, CA",0.4705
6059110102,"La Palma, CA",0.4688
6037503301,"East Whitter, Whittier, CA",0.4687
6037267100,"West Los Angeles, Los Angeles, CA",0.4685
6037217001,"Pico - Robertson, Los Angeles, CA",0.4684
6037271600,"Mar Vista, Los Angeles, CA",0.4674
6037554518,"Cerritos, CA",0.4671
6037700801,"Beverly Hills, CA",0.4664
6037554522,"Cerritos, CA",0.4662
6037651102,"Torrance Heights Civic, Torrance, CA",0.4643
6037554406,"Bellflower, CA",0.4639
6037554512,"Cerritos, CA",0.4636
6037481714,"Monterey Park, CA",0.4629
6037265420,"Westwood, Los Angeles, CA",0.4627
6037620602,"North Redondo, Redondo Beach, CA",0.4619
6037482102,"Monterey Park, CA",0.461
6037501700,"East Whitter, Whittier, CA",0.4609
6037650603,"Torrance, CA",0.4604
6037550800,"Downey, CA",0.4603
6037701201,"North of Montana, Santa Monica, CA",0.4603
6037265510,"Westwood, Los Angeles, CA",0.4596
6037570800,"Lakewood, CA",0.4594
6037570003,"Lakewood, CA",0.4592
6037191902,"Central LA, Los Angeles, CA",0.4587
6037504001,"La Mirada, CA",0.4579
6037570702,"Lakewood Mutual, Lakewood, CA",0.4577
6037276603,"Playa del Rey, Los Angeles, CA",0.4569
6037530005,"South Montebello, Montebello, CA",0.4555
6037554519,"Cerritos, CA",0.4553
6037571102,"Lakewood, CA",0.4552
6059110116,"La Palma, CA",0.4533
6037274202,"Venice, Marina del Rey, CA",0.4527
6037650004,"Northwest Torrance, Torrance, CA",0.4511
6037621001,"Hermosa Beach, CA",0.451
6037571800,"Bixby Knolls, Long Beach, CA",0.4506
6037276400,"Westchester, Los Angeles, CA",0.4506
6059110304,"Buena Park, CA",0.4504
6037267800,"West Los Angeles, Los Angeles, CA",0.4496
6037271100,"West Los Angeles, Los Angeles, CA",0.4496
6037620001,"El Segundo, CA",0.4485
6059110303,"Buena Park, CA",0.4477
6037554513,"Cerritos, CA",0.4473
6037503502,"East Whitter, Whittier, CA",0.4472
6037274100,"Venice, Marina del Rey, CA",0.4472
6037620002,"El Segundo, CA",0.4471
6037621324,"South Redondo, Redondo Beach, CA",0.4465
6037570902,"Lakewood, CA",0.4462
6037276000,"Westchester, Los Angeles, CA",0.4459
6037554802,"Artesia, CA",0.4459
6037432102,"Temple City, CA",0.4454
6037503601,"La Mirada, CA",0.4445
6037501802,"Whittier, CA",0.4445
6037572001,"Bixby Knolls, Long Beach, CA",0.4442
6037554517,"Cerritos, CA",0.4441
6037276500,"Westchester, Los Angeles, CA",0.4439
6037621102,"Hermosa Beach, CA",0.4438
6037700300,"Central LA, West Hollywood, CA",0.4434
6059110301,"Buena Park, CA",0.4432
6037481800,"Alhambra, CA",0.4426
6037275101,"Culver City, CA",0.4422
6037277000,"Westchester, Los Angeles, CA",0.4404
6037276604,"Playa del Rey, Los Angeles, CA",0.4381
6037621104,"Hermosa Beach, CA",0.4375
6037553000,"Norwalk, CA",0.437
6037262303,"Brentwood, Los Angeles, CA",0.4367
6037550602,"Downey, CA",0.4366
6037271400,"Mar Vista, Los Angeles, CA",0.4361
6037262802,"Pacific Palisades, Santa Monica, CA",0.4349
6037551000,"Downey, CA",0.4339
6037620701,"North Redondo, Redondo Beach, CA",0.4338
6037503201,"East Whitter, Whittier, CA",0.4335
