"tract","Name","Incarceration_Rate_rP_gP_pall"
6037206300,"Central LA, Los Angeles, CA",0.0768
6037242600,"South Los Angeles, Los Angeles, CA",0.0708
6037242100,"South Los Angeles, Los Angeles, CA",0.0602
6037532400,"Vernon, CA",0.0576
6037600400,"South Los Angeles, Los Angeles, CA",0.0549
6037241002,"South Los Angeles, Los Angeles, CA",0.052
6037236204,"Baldwin Village, Los Angeles, CA",0.0466
6037218702,"Jefferson, Los Angeles, CA",0.0461
6037209200,"Central LA, Los Angeles, CA",0.0453
6037602506,"Hawthorne, CA",0.0446
6037228900,"Central Alameda, Los Angeles, CA",0.0437
6037541001,"Gardena, CA",0.0432
6037234902,"Park Mesa Heights, Los Angeles, CA",0.043
6037209102,"Central LA, Los Angeles, CA",0.0426
6037232500,"South Los Angeles, Los Angeles, CA",0.0422
6037237300,"South Los Angeles, Los Angeles, CA",0.042
6037237201,"South Los Angeles, Los Angeles, CA",0.041
6037600202,"South Los Angeles, Los Angeles, CA",0.0407
6037571600,"Carmelitos, Long Beach, CA",0.0405
6037238000,"South Los Angeles, Los Angeles, CA",0.04
6037228210,"South Los Angeles, Los Angeles, CA",0.0397
6037229410,"South Los Angeles, Los Angeles, CA",0.0395
6037600201,"South Los Angeles, Los Angeles, CA",0.0392
6037533001,"South Los Angeles, Los Angeles, CA",0.0391
6037219500,"South Los Angeles, Los Angeles, CA",0.0385
6037240401,"South Los Angeles, Los Angeles, CA",0.0368
6037541606,"Compton, CA",0.0366
6037540700,"South Los Angeles, Los Angeles, CA",0.0362
6037240500,"South Los Angeles, Los Angeles, CA",0.0361
6037241110,"South Los Angeles, Los Angeles, CA",0.036
6037601303,"Inglewood, CA",0.0358
6037241400,"Harbor, Los Angeles, CA",0.0355
6037600501,"Inglewood, CA",0.0353
6037570203,"North Long Beach, Long Beach, CA",0.0351
6037291110,"Harbor, Los Angeles, CA",0.0349
6037601302,"Inglewood, CA",0.0349
6037239320,"South Los Angeles, Los Angeles, CA",0.0342
6037240200,"South Los Angeles, Los Angeles, CA",0.0339
6037215102,"Central LA, Los Angeles, CA",0.0339
6037602600,"Gardena, CA",0.0337
6037226002,"Central LA, Los Angeles, CA",0.0331
6037602507,"Hawthorne, CA",0.033
6037292000,"Harbor, Torrance, CA",0.0327
6037240900,"South Los Angeles, Los Angeles, CA",0.0325
6037237500,"South Figueroa Corridor, Los Angeles, CA",0.0324
6037240402,"South Los Angeles, Los Angeles, CA",0.0322
6037237900,"South Los Angeles, Los Angeles, CA",0.0322
6037242300,"South Los Angeles, Los Angeles, CA",0.0321
6037222600,"South Los Angeles, Los Angeles, CA",0.032
6037237401,"South Los Angeles, Los Angeles, CA",0.0317
6037555212,"Hawaiian Gardens, CA",0.0317
6037542103,"Compton, CA",0.0316
6037229100,"Central Alameda, Los Angeles, CA",0.0315
6037234502,"South Los Angeles, Los Angeles, CA",0.0312
