"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
6037262301,"Los Angeles, CA",52689
6037265100,"Westwood, Los Angeles, CA",51329
6037262302,"Brentwood, Los Angeles, CA",49248
6037261200,"Beverly Glen, Los Angeles, CA",48746
6037265420,"Westwood, Los Angeles, CA",48532
6037700600,"Beverly Hills, CA",46452
6037701201,"North of Montana, Santa Monica, CA",45524
6037620901,"Manhattan Beach, CA",44666
6037620305,"Manhattan Beach, CA",44013
6037262802,"Pacific Palisades, Santa Monica, CA",43874
6037620301,"Manhattan Beach, CA",43865
6037700700,"The Flats, Beverly Hills, CA",43385
6037261102,"Beverly Hills, CA",43219
6037262303,"Brentwood, Los Angeles, CA",42833
6037262400,"Brentwood, Los Angeles, CA",42663
6037262100,"Bel Air, Los Angeles, CA",42558
6037265601,"Westwood, Los Angeles, CA",42478
6037264000,"Brentwood, Los Angeles, CA",42392
6037269000,"Cheviot Hills, Los Angeles, CA",41931
6037269300,"Cheviot Hills, Los Angeles, CA",41902
6037262200,"Bel Air, Los Angeles, CA",41588
6037211000,"Central LA, Los Angeles, CA",41509
6037701000,"Beverly Hills, CA",41447
6037265201,"Westwood, Los Angeles, CA",41265
6037265700,"Westwood, Los Angeles, CA",41255
6037271500,"Mar Vista, Los Angeles, CA",41208
6037265202,"Westwood, Los Angeles, CA",40870
6037620800,"Manhattan Beach, CA",40868
6037276601,"Playa del Rey, Los Angeles, CA",40823
6037530005,"South Montebello, Montebello, CA",40727
6037701302,"Wilshire Montana, Santa Monica, CA",40531
6037554518,"Cerritos, CA",40523
6037700801,"Beverly Hills, CA",40481
6037480500,"South Pasadena, CA",40312
6037701601,"Northeast, Santa Monica, CA",40170
6037554517,"Cerritos, CA",40162
6037573902,"El Dorado, Long Beach, CA",40087
6037482001,"Monterey Park, CA",40078
6037554511,"Cerritos, CA",39784
6037480702,"South Pasadena, CA",39777
6059110118,"Cypress, CA",39737
6037554512,"Cerritos, CA",39735
6037554519,"Cerritos, CA",39696
6037264302,"Brentwood, Los Angeles, CA",39637
6037701202,"Wilshire Montana, Santa Monica, CA",39598
6037271600,"Mar Vista, Los Angeles, CA",39587
6037265510,"Westwood, Los Angeles, CA",39399
6037264301,"Brentwood, Los Angeles, CA",39382
6037269500,"Beverlywood, Los Angeles, CA",39328
6037500202,"East Whitter, Whittier, CA",39293
6037267100,"West Los Angeles, Los Angeles, CA",39277
6037554522,"Cerritos, CA",39232
6037650603,"Torrance, CA",39209
