"tract","Name","Number_of_Children_rP_gP_pall"
6059110603,"Buena Park, CA",2974
6037540502,"Lynwood, CA",2868
6059110500,"Buena Park, CA",2847
6037540000,"Lynwood, CA",2832
6037541400,"South Los Angeles, Compton, CA",2761
6059086901,"Southwest Anaheim, Anaheim, CA",2741
6037532900,"South Los Angeles, Los Angeles, CA",2725
6037535101,"South Los Angeles, Los Angeles, CA",2715
6037540202,"Lynwood, CA",2706
6037533901,"South Montebello, Bell Gardens, CA",2635
6037542200,"Compton, CA",2629
6037534102,"South Montebello, Bell Gardens, CA",2627
6037540102,"Lynwood, CA",2585
6037534202,"South Montebello, Bell Gardens, CA",2583
6037570501,"Jordan, Long Beach, CA",2579
6037601900,"Inglewood, CA",2570
6037541604,"Compton, CA",2548
6037553901,"Paramount, CA",2538
6037552200,"Norwalk, CA",2537
6037532200,"South Montebello, Montebello, CA",2503
6037532101,"South Montebello, Montebello, CA",2479
6037536200,"South Gate, CA",2477
6037555211,"Hawaiian Gardens, CA",2476
6037541700,"Lynwood, CA",2464
6037293202,"Harbor Gateway South, Torrance, CA",2464
6037535802,"South Gate, CA",2462
6037242600,"South Los Angeles, Los Angeles, CA",2453
6037534900,"South Los Angeles, Los Angeles, CA",2449
6037600202,"South Los Angeles, Los Angeles, CA",2435
6037570301,"North Long Beach, Long Beach, CA",2420
6037432802,"El Monte City, El Monte, CA",2416
6037226700,"South Los Angeles, Los Angeles, CA",2406
6037433801,"South El Monte, CA",2402
6037292000,"Harbor, Torrance, CA",2387
6037600100,"South Los Angeles, Los Angeles, CA",2385
6037550300,"Norwalk, CA",2379
6037602103,"Hawthorne, CA",2379
6037601212,"Inglewood, CA",2372
6037531302,"Los Angeles, CA",2370
6037550100,"Norwalk, CA",2368
6037602508,"Hawthorne, CA",2361
6037242200,"South Los Angeles, Los Angeles, CA",2360
6037535300,"South Los Angeles, Los Angeles, CA",2350
6037543100,"Compton, CA",2347
6037540101,"Lynwood, CA",2343
6037600902,"Inglewood, CA",2338
6037228800,"Central Alameda, Los Angeles, CA",2320
6037533603,"Bell, CA",2313
6037534001,"South Montebello, Bell Gardens, CA",2310
6037601700,"Inglewood, CA",2305
6037551202,"Downey, CA",2294
6037570202,"Hamilton, Long Beach, CA",2286
6037503000,"Whittier, CA",2280
6059110202,"Southwest Anaheim, Buena Park, CA",2266
6037570502,"Grant, Long Beach, CA",2260
6037601100,"Inglewood, CA",2254
